MRP,processor,RAM,os,RAM TYPE,Brand,ROM_SIZE,ROM_TYPE
36990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,256 GB,SSD
39990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
32990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,ASUS,512 GB,SSD
49990,AMD Ryzen 5 Hexa Core Processor,8 GB,Windows 10 Operating System,DDR4 RAM,HP,512 GB,SSD
49990,Intel Core i5 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,ASUS,512 GB,SSD
36990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,HP,256 GB,SSD
38990,Intel OptaneIntel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,DELL,"1 TB,256 GB","HDD,SSD"
39990,Intel Core i5 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,RedmiBook,512 GB,SSD
46990,,8 GB,Windows 10 Operating System,DDR4 RAM,realme,256 GB,SSD
44990,AMD Ryzen 7 Quad Core Processor,16 GB,Windows 11 Operating System,DDR4 RAM,ASUS,512 GB,SSD
59990,AMD Ryzen 5 Hexa Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,HP,512 GB,SSD
38705,AMD Ryzen 5 Quad Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
32990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,ASUS,256 GB,SSD
52990,AMD Ryzen 5 Hexa Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,ASUS,512 GB,SSD
29990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,acer,256 GB,SSD
47990,Intel Core i5 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,ASUS,"1 TB,256 GB","HDD,SSD"
45990,Intel Core i5 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,ASUS,512 GB,SSD
47990,AMD Ryzen 5 Hexa Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,MSI,512 GB,SSD
85990,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11 Operating System,DDR4 RAM,ASUS,1 TB,SSD
88990,M1 Processor,8 GB,Mac OS Operating System,DDR4 RAM,APPLE,256 GB,SSD
40990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,HP,512 GB,SSD
35590,AMD Ryzen 3 Dual Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
65990,Intel Core i5 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,HP,512 GB,SSD
39990,Intel Core i5 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,RedmiBook,512 GB,SSD
39990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
58990,Intel Core i5 Processor,16 GB,Windows 11 Operating System,DDR4 RAM,acer,512 GB,SSD
46990,,8 GB,Windows 10 Operating System,DDR4 RAM,realme,256 GB,SSD
38705,AMD Ryzen 5 Quad Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
85990,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11 Operating System,DDR4 RAM,ASUS,1 TB,SSD
24990,AMD Ryzen 3 Dual Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,acer,256 GB,SSD
47990,,8 GB,Windows 11 Operating System,DDR4 RAM,acer,512 GB,SSD
73990,AMD Ryzen 7 Octa Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,ASUS,512 GB,SSD
53490,Intel Core i5 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
35590,AMD Ryzen 3 Dual Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
51990,Intel Core i5 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
66990,Intel Core i5 Processor,16 GB,Windows 11 Operating System,DDR4 RAM,ASUS,512 GB,SSD
36990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,256 GB,SSD
51990,AMD Ryzen 5 Hexa Core Processor,16 GB,Windows 11 Operating System,DDR4 RAM,acer,512 GB,SSD
